,X,Y,Class
0,9.5,167.0,0
1,23.833333333333332,177.83333333333334,1
2,24.5,172.0,4
3,17.833333333333332,202.0,3
4,19.0,216.8,5
5,25.166666666666668,215.5,1
6,24.571428571428573,239.28571428571428,3
7,11.333333333333334,236.83333333333334,6
8,17.5,297.0,5
9,32.75,323.75,1
10,18.875,384.75,3
11,25.333333333333332,419.1666666666667,6
12,13.777777777777779,471.8888888888889,3
13,21.875,480.0,1
14,11.0,474.0,5
15,20.75,151.75,5
16,32.0,115.8,4
17,33.2,114.8,2
18,30.6,77.2,1
19,21.5,61.833333333333336,4
20,21.333333333333332,61.77777777777778,2
21,9.5,20.5,5
22,18.8,22.4,4
